cpf,clientID,produtoID,price
48177736395,1,4,50.88
48177736395,1,8,5.52
48177736395,1,3,28.1
48177736395,1,8,30.76
48177736395,1,1,86.95
48177736395,1,4,95.13
73714778353,2,3,32.5
73714778353,2,2,74.13
73714778353,2,7,4.24
73714778353,2,1,1.05
XXXXXXXXXX,3,9,43.58
XXXXXXXXXX,3,0,86.98
XXXXXXXXXX,3,2,87.03
XXXXXXXXXX,3,1,52.56
XXXXXXXXXX,3,8,33.08
XXXXXXXXXX,3,2,79.3
XXXXXXXXXX,4,3,60.27
XXXXXXXXXX,4,7,78.56
XXXXXXXXXX,4,5,77.09
XXXXXXXXXX,4,3,84.76
XXXXXXXXXX,4,3,7.89
XXXXXXXXXX,4,7,5.22
XXXXXXXXXX,4,6,3.14
XXXXXXXXXX,4,3,51.57
XXXXXXXXXX,5,8,76.38
XXXXXXXXXX,5,5,41.24
XXXXXXXXXX,5,8,65.83
XXXXXXXXXX,5,10,4.18
XXXXXXXXXX,5,6,82.54
XXXXXXXXXX,5,5,15.83
XXXXXXXXXX,6,4,99.96
XXXXXXXXXX,6,9,42.28
XXXXXXXXXX,6,9,8.64
20234898468,7,2,22.14
20234898468,7,7,58.51
20234898468,7,6,36.11
20234898468,7,5,85.96
55941765513,8,2,29.38
55941765513,8,10,82.59
55941765513,8,5,99.61
55941765513,8,7,77.32
55941765513,8,6,56.33
55941765513,8,10,94.56
55941765513,8,8,28.98
55941765513,8,5,3.9
55941765513,8,7,53.73
55941765513,8,2,93.42
55941765513,8,8,99.48
55941765513,8,8,25.68
55941765513,8,3,98.79
55941765513,8,7,16.52
42061900983,9,9,25.29
42061900983,9,3,46.05
42061900983,9,4,24.89
42061900983,9,2,2.14
42061900983,9,2,43.59
42061900983,9,9,71.79
XXXXXXXXXX,10,4,61.28
XXXXXXXXXX,10,2,85.66
XXXXXXXXXX,10,9,2.33
XXXXXXXXXX,10,0,92.66
XXXXXXXXXX,10,4,14.36
XXXXXXXXXX,10,6,4.9
XXXXXXXXXX,10,3,37.57
XXXXXXXXXX,10,1,59.65
XXXXXXXXXX,10,6,74.1
XXXXXXXXXX,10,9,15.85
XXXXXXXXXX,11,2,63.61
XXXXXXXXXX,11,8,52.28
XXXXXXXXXX,11,7,20.89
XXXXXXXXXX,11,6,29.28
XXXXXXXXXX,11,8,48.35
XXXXXXXXXX,11,0,81.03
XXXXXXXXXX,11,3,72.57
XXXXXXXXXX,11,8,31.72
XXXXXXXXXX,11,9,56.08
XXXXXXXXXX,12,3,97.68
XXXXXXXXXX,12,4,22.79
XXXXXXXXXX,12,9,45.67
XXXXXXXXXX,12,7,77.14
XXXXXXXXXX,12,1,29.19
XXXXXXXXXX,12,2,99.98
XXXXXXXXXX,13,10,19.62
XXXXXXXXXX,13,3,61.25
XXXXXXXXXX,13,4,82.81
XXXXXXXXXX,13,9,53.4
XXXXXXXXXX,13,4,35.39
27334924660,14,1,5.58
27334924660,14,3,69.5
27334924660,14,5,17.05
27334924660,14,2,19.01
27334924660,14,9,99.69
27334924660,14,2,70.52
27334924660,14,3,68.15
27334924660,14,9,39.24
53875943228,15,9,33.76
53875943228,15,8,51.17
53875943228,15,5,52.97
